"","Alter","Studienfach","Interesse_Math","Interesse_Prog","Mathe_LK"
"1",24,"Statistik","5","5",0
"2",25,"Statistik","7","7",0
"3",23,"Data Science","6","2",1
"4",28,"Statistik","6","2",1
"5",26,"Statistik","6","2",1
"6",23,"Data Science","1","5",0
"7",26,"Data Science","7","6",0
"8",26,"Statistik","4","4",0
"9",26,"Statistik","7","7",0
"10",24,"Mathe","6","2",1
"11",28,"Informatik","7","1",0
"12",26,"Statistik","7","6",0
"13",24,"Mathe","3","4",0
"14",21,"Informatik","5","4",0
"15",27,"Mathe","7","5",1
"16",25,"Data Science","6","6",0
"17",25,"Mathe","7","6",1
"18",27,"Informatik","6","6",0
"19",27,"Informatik","1","5",1
"20",26,"Data Science","5","4",0
"21",27,"Statistik","5","6",0
"22",27,"Statistik","6","6",0
"23",25,"Data Science","6","5",0
"24",21,"Data Science","1","7",0
"25",26,"Informatik","3","6",1
"26",25,"Data Science","2","6",0
"27",25,"Statistik","4","7",0
"28",22,"Statistik","4","2",0
"29",24,"Data Science","7","3",1
"30",26,"Informatik","4","3",0
"31",28,"Data Science","1","2",0
"32",25,"Statistik","6","7",0
"33",26,"Data Science","6","6",0
"34",25,"Mathe","4","5",0
"35",22,"Data Science","7","7",0
"36",24,"Mathe","6","4",1
"37",24,"Mathe","6","4",1
"38",25,"Data Science","7","7",0
"39",27,"Data Science","5","6",0
"40",27,"Data Science","1","2",0
"41",25,"Data Science","1","7",0
"42",24,"Data Science","7","6",0
"43",26,"Informatik","5","6",0
"44",26,"Statistik","6","5",0
"45",24,"Data Science","5","7",0
"46",24,"Statistik","7","6",0
"47",26,"Data Science","6","6",0
"48",27,"Statistik","7","2",1
"49",25,"Data Science","6","7",0
"50",27,"Informatik","4","7",0
"51",26,"Mathe","6","2",1
"52",24,"Informatik","7","6",0
"53",26,"Data Science","4","6",0
"54",23,"Mathe","6","7",1
"55",28,"Data Science","1","7",0
"56",29,"Statistik","6","5",0
"57",24,"Statistik","3","5",0
"58",23,"Data Science","7","1",1
"59",26,"Data Science","3","5",0
"60",25,"Informatik","6","7",0
"61",30,"Data Science","7","7",0
"62",25,"Data Science","6","6",0
"63",26,"Statistik","3","7",0
"64",25,"Mathe","6","6",1
"65",24,"Mathe","5","7",1
"66",25,"Statistik","3","2",0
"67",21,"Statistik","7","5",0
"68",28,"Mathe","5","7",1
"69",25,"Mathe","5","6",1
"70",29,"Statistik","6","5",0
"71",26,"Statistik","6","6",0
"72",24,"Statistik","5","2",1
"73",26,"Data Science","2","5",0
"74",23,"Statistik","7","6",0
"75",22,"Statistik","7","7",0
"76",26,"Statistik","6","7",0
"77",24,"Statistik","6","3",1
"78",25,"Statistik","3","6",0
"79",25,"Data Science","7","6",0
"80",24,"Mathe","6","5",1
"81",24,"Statistik","6","4",0
"82",25,"Data Science","5","7",0
"83",27,"Informatik","5","3",0
"84",22,"Data Science","1","2",0
"85",26,"Statistik","7","5",0
"86",26,"Statistik","7","6",0
"87",27,"Data Science","4","7",0
"88",24,"Statistik","3","7",0
"89",26,"Statistik","7","3",1
"90",26,"Statistik","2","7",0
"91",24,"Statistik","7","7",0
"92",27,"Statistik","7","2",1
"93",27,"Informatik","2","6",1
"94",26,"Data Science","6","7",0
"95",28,"Data Science","7","6",0
"96",26,"Mathe","6","6",1
"97",22,"Statistik","5","6",0
"98",24,"Statistik","6","6",0
"99",23,"Statistik","6","3",1
"100",24,"Informatik","7","7",0
